feature,mean_abs_shap
pm2_5,7.2504005
us_aqi,3.9168963
month_cos,1.400663
aqi_change_rate_1h,0.8706957
aqi_lag_24h,0.8365542
rolling_30day_avg,0.7100058
pm10,0.66683596
relative_humidity_2m,0.6132381
pm2_5_lag_24h,0.5952478
pressure_msl,0.54587525
aqi_rolling_24h,0.5302206
wind_speed_10m,0.49626476
o3,0.48845622
rolling_30day_std,0.46361154
hour_sin,0.45427084
aqi_lag_72h,0.38181293
aqi_lag_48h,0.34947056
aqi,0.31724587
month_sin,0.30382323
month,0.29387453
no2,0.28047195
pm2_5_lag_72h,0.27388477
day_of_week,0.2720943
hour_cos,0.19889906
aqi_change_rate_24h,0.19250835
co,0.18319695
cloud_cover,0.13293502
so2,0.12667662
pm2_5_lag_48h,0.090227745
temperature_2m,0.081707105
hour,0.067196965
aqi_rolling_6h,0.06322299
precipitation,0.049301624
is_weekend,0.003123751
