model,horizon,split,rmse,mae,r2
LSTM_baseline_64_32,24,val,15.981,11.731,0.35
LSTM_baseline_64_32,48,val,18.007,13.118,0.181
LSTM_baseline_64_32,72,val,19.274,14.182,0.093
LSTM_wider_128_64,24,val,15.352,11.596,0.4
LSTM_wider_128_64,48,val,17.445,13.097,0.232
LSTM_wider_128_64,72,val,18.822,13.974,0.135
LSTM_deeper_64_64_32,24,val,18.756,13.439,0.104
LSTM_deeper_64_64_32,48,val,19.176,13.784,0.072
LSTM_deeper_64_64_32,72,val,20.345,14.229,-0.01
LSTM_bidirectional_64_32,24,val,15.952,11.857,0.352
LSTM_bidirectional_64_32,48,val,18.652,13.367,0.122
LSTM_bidirectional_64_32,72,val,20.172,14.686,0.007
LSTM_regularized_96_48_lowlr,24,val,18.177,13.186,0.159
LSTM_regularized_96_48_lowlr,48,val,19.353,13.997,0.054
LSTM_regularized_96_48_lowlr,72,val,20.108,14.536,0.013
LSTM_wider_128_64_WINNER,24,holdout,11.216,7.828,0.376
LSTM_wider_128_64_WINNER,48,holdout,12.721,9.164,0.141
LSTM_wider_128_64_WINNER,72,holdout,13.239,9.658,-0.009
